danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,audio_features,2Bs4jQEGMycglOfWPBqrVG,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/tracks/2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/audio-analysis/2Bs4jQEGMycglOfWPBqrVG,228133,4
0.652,0.877,1,-2.986,1,0.0465,0.0227,0,0.0789,0.486,118.491,audio_features,5T7ZFtCcOgkpjxcuaeZbw0,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107,4
0.678,0.847,2,-5.226,1,0.169,0.189,0.000322,0.231,0.733,133.696,audio_features,2FFOQpNyN4us5DaVaf6Qcc,spotify:track:2FFOQpNyN4us5DaVaf6Qcc,https://api.spotify.com/v1/tracks/2FFOQpNyN4us5DaVaf6Qcc,https://api.spotify.com/v1/audio-analysis/2FFOQpNyN4us5DaVaf6Qcc,192670,4
0.526,0.772,11,-7.229,0,0.0479,0.0346,0,0.214,0.482,85.876,audio_features,2stPxcgjdSImK7Gizl8ZUN,spotify:track:2stPxcgjdSImK7Gizl8ZUN,https://api.spotify.com/v1/tracks/2stPxcgjdSImK7Gizl8ZUN,https://api.spotify.com/v1/audio-analysis/2stPxcgjdSImK7Gizl8ZUN,254880,4
0.818,0.67,8,-4.451,0,0.0472,0.304,0.00000122,0.0601,0.939,119.988,audio_features,6K8qKeWo5MsFED7wCR6Kop,spotify:track:6K8qKeWo5MsFED7wCR6Kop,https://api.spotify.com/v1/tracks/6K8qKeWo5MsFED7wCR6Kop,https://api.spotify.com/v1/audio-analysis/6K8qKeWo5MsFED7wCR6Kop,235382,4
0.61,0.622,0,-5.881,1,0.0528,0.17,0,0.115,0.245,72.54,audio_features,3ms861Ocy6YlgWhefVoTzX,spotify:track:3ms861Ocy6YlgWhefVoTzX,https://api.spotify.com/v1/tracks/3ms861Ocy6YlgWhefVoTzX,https://api.spotify.com/v1/audio-analysis/3ms861Ocy6YlgWhefVoTzX,207573,4
0.72,0.802,1,-5.797,1,0.0582,0.0921,0,0.694,0.723,124.043,audio_features,2bJvI42r8EF3wxjOuDav4r,spotify:track:2bJvI42r8EF3wxjOuDav4r,https://api.spotify.com/v1/tracks/2bJvI42r8EF3wxjOuDav4r,https://api.spotify.com/v1/audio-analysis/2bJvI42r8EF3wxjOuDav4r,229360,4
0.671,0.939,8,-3.206,1,0.161,0.192,0,0.298,0.529,129.023,audio_features,15NcGkc9s8Afn9tJ66deRV,spotify:track:15NcGkc9s8Afn9tJ66deRV,https://api.spotify.com/v1/tracks/15NcGkc9s8Afn9tJ66deRV,https://api.spotify.com/v1/audio-analysis/15NcGkc9s8Afn9tJ66deRV,252307,4
0.741,0.748,0,-6.299,1,0.0264,0.0823,0,0.34,0.6,127.965,audio_features,4vp2J1l5RD4gMZwGFLfRAu,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu,289133,4
0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,audio_features,2JZKXgq5zsokN01KWyiY6n,spotify:track:2JZKXgq5zsokN01KWyiY6n,https://api.spotify.com/v1/tracks/2JZKXgq5zsokN01KWyiY6n,https://api.spotify.com/v1/audio-analysis/2JZKXgq5zsokN01KWyiY6n,484147,4
